preference_id,customer_id,email_opt_in,sms_opt_in,preferred_language,preferred_channel,last_updated_date
PR000001,C000001,True,True,Spanish,Mobile App,2025-12-18
PR000002,C000002,True,True,English,SMS,2025-12-07
PR000003,C000003,True,True,Spanish,None,2025-07-31
PR000004,C000004,True,True,Spanish,Mobile App,2025-01-28
PR000005,C000005,True,True,English,Email,2026-03-27
PR000006,C000006,True,False,English,Mobile App,2025-09-29
PR000007,C000007,True,False,English,SMS,2025-05-02
PR000008,C000008,True,False,Spanish,Email,2025-09-06
PR000009,C000009,True,True,Spanish,Email,2023-01-04
PR000010,C000010,True,True,English,None,2023-09-27
PR000011,C000011,False,True,Spanish,Email,2022-10-25
PR000012,C000012,True,True,English,SMS,2024-01-19
PR000013,C000013,True,True,English,None,2024-11-16
PR000014,C000014,True,False,English,None,2022-10-28
PR000015,C000015,True,True,English,Email,2025-04-01
PR000016,C000016,False,True,English,Email,2026-03-18
PR000017,C000017,True,True,English,SMS,2026-06-02
PR000018,C000018,True,False,Spanish,Mobile App,2023-01-05
PR000019,C000019,True,True,English,Mobile App,2025-06-04
PR000020,C000020,False,False,English,SMS,2025-10-24
PR000021,C000021,False,False,English,Mobile App,2025-07-22
PR000022,C000022,True,True,English,SMS,2024-11-28
PR000023,C000023,True,True,Spanish,Mobile App,2025-02-07
PR000024,C000024,False,True,English,Mobile App,2026-07-05
PR000025,C000025,True,False,Spanish,Mobile App,2022-06-08
PR000026,C000026,False,False,English,Mobile App,2024-04-11
PR000027,C000027,True,True,Spanish,Mobile App,2023-07-28
PR000028,C000028,True,True,English,None,2026-04-14
PR000029,C000029,True,True,Spanish,Email,2026-06-18
PR000030,C000030,True,False,English,Email,2025-06-02
PR000031,C000031,True,True,Spanish,SMS,2025-09-10
PR000032,C000032,False,True,English,Mobile App,2023-08-09
PR000033,C000033,False,True,Spanish,Email,2025-10-27
PR000034,C000034,False,False,Spanish,Email,2024-09-24
PR000035,C000035,True,False,English,None,2023-12-03
PR000036,C000036,True,True,English,Mobile App,2026-04-07
PR000037,C000037,False,False,English,SMS,2024-04-09
PR000038,C000038,True,True,English,None,2025-05-19
PR000039,C000039,True,True,English,Mobile App,2024-04-08
PR000040,C000040,True,True,English,SMS,2023-05-30
PR000041,C000041,True,False,Spanish,Mobile App,2026-02-28
PR000042,C000042,True,True,English,Email,2023-05-06
PR000043,C000043,False,True,Spanish,Email,2024-05-14
PR000044,C000044,False,True,English,None,2024-10-21
PR000045,C000045,False,True,English,None,2026-03-24
PR000046,C000046,True,False,English,None,2024-10-16
PR000047,C000047,False,True,English,Email,2024-10-16
PR000048,C000048,False,True,Spanish,Email,2026-06-05
PR000049,C000049,True,True,English,Mobile App,2025-07-22
PR000050,C000050,True,True,English,Mobile App,2023-04-23
PR000051,C000051,False,True,English,Mobile App,2025-06-12
PR000052,C000052,True,True,English,Mobile App,2025-07-14
PR000053,C000053,True,False,English,Email,2026-06-20
PR000054,C000054,True,True,English,Email,2025-10-09
PR000055,C000055,True,False,Spanish,SMS,2026-01-26
PR000056,C000056,True,False,English,Email,2024-11-05
PR000057,C000057,True,True,Spanish,SMS,2024-11-19
PR000058,C000058,True,True,Spanish,Mobile App,2025-02-21
PR000059,C000059,False,False,English,SMS,2025-06-05
PR000060,C000060,False,True,English,None,2025-07-06
PR000061,C000061,True,True,English,Mobile App,2024-08-25
PR000062,C000062,True,False,English,None,2024-09-16
PR000063,C000063,False,False,English,None,2025-10-10
PR000064,C000064,True,True,Spanish,Email,2026-04-27
PR000065,C000065,True,True,English,Mobile App,2026-05-24
PR000066,C000066,False,True,Spanish,None,2026-06-30
PR000067,C000067,True,True,English,Email,2026-01-24
PR000068,C000068,True,True,English,None,2024-12-02
PR000069,C000069,False,False,English,None,2025-02-25
PR000070,C000070,False,True,English,SMS,2024-09-08
PR000071,C000071,True,True,English,SMS,2024-11-22
PR000072,C000072,True,True,Spanish,SMS,2025-12-20
PR000073,C000073,True,False,English,None,2024-05-20
PR000074,C000074,True,True,English,None,2023-10-17
PR000075,C000075,True,True,English,Mobile App,2025-02-03
PR000076,C000076,False,True,English,SMS,2025-08-05
PR000077,C000077,True,False,Spanish,Email,2026-05-11
PR000078,C000078,False,True,English,Mobile App,2024-07-02
PR000079,C000079,False,True,English,Email,2025-08-13
PR000080,C000080,True,True,Spanish,Mobile App,2025-02-04
PR000081,C000081,False,True,Spanish,Mobile App,2025-07-02
PR000082,C000082,True,False,Spanish,SMS,2026-06-17
PR000083,C000083,False,True,English,Email,2025-06-05
PR000084,C000084,True,True,English,Email,2024-08-16
PR000085,C000085,True,True,English,Mobile App,2024-08-01
PR000086,C000086,True,True,English,Mobile App,2026-06-28
PR000087,C000087,False,False,English,Email,2025-07-26
PR000088,C000088,True,False,English,Mobile App,2025-04-30
PR000089,C000089,False,True,English,None,2026-07-03
PR000090,C000090,True,True,English,Email,2025-04-11
PR000091,C000091,True,True,Spanish,Mobile App,2025-05-24
PR000092,C000092,False,True,English,SMS,2025-10-04
PR000093,C000093,True,True,English,Email,2024-09-30
PR000094,C000094,True,True,English,Mobile App,2025-12-03
PR000095,C000095,True,False,English,Email,2025-09-05
PR000096,C000096,True,True,English,SMS,2026-05-13
PR000097,C000097,True,False,Spanish,SMS,2025-04-13
PR000098,C000098,False,False,English,Mobile App,2024-12-01
PR000099,C000099,False,False,Spanish,Email,2025-10-22
PR000100,C000100,True,False,Spanish,None,2025-12-25
PR000101,C000101,False,True,English,Email,2026-05-12
PR000102,C000102,True,True,English,Mobile App,2026-06-28
PR000103,C000103,True,True,Spanish,Mobile App,2026-04-24
PR000104,C000104,True,False,English,Mobile App,2026-02-13
PR000105,C000105,True,False,English,Email,2023-02-19
PR000106,C000106,True,True,English,Email,2024-06-10
PR000107,C000107,True,False,Spanish,Email,2024-04-18
PR000108,C000108,False,True,English,Email,2023-03-20
PR000109,C000109,True,False,English,None,2026-01-17
PR000110,C000110,True,False,Spanish,None,2026-01-21
PR000111,C000111,True,True,English,Mobile App,2023-04-21
PR000112,C000112,True,True,English,Mobile App,2024-09-15
PR000113,C000113,False,False,English,None,2026-05-24
PR000114,C000114,True,True,English,None,2023-12-23
PR000115,C000115,True,True,English,Email,2025-03-13
PR000116,C000116,False,True,English,SMS,2024-01-02
PR000117,C000117,True,True,English,None,2025-10-01
PR000118,C000118,True,True,English,Mobile App,2024-08-18
PR000119,C000119,True,False,English,None,2026-03-29
PR000120,C000120,True,True,English,Mobile App,2026-03-30
PR000121,C000121,False,False,Spanish,None,2025-03-07
PR000122,C000122,True,True,English,Email,2026-06-10
PR000123,C000123,True,True,English,None,2025-06-24
PR000124,C000124,True,False,English,None,2023-12-19
PR000125,C000125,True,True,English,SMS,2023-10-27
PR000126,C000126,True,False,English,Email,2026-07-06
PR000127,C000127,False,False,English,SMS,2026-04-19
PR000128,C000128,False,True,English,None,2025-09-22
PR000129,C000129,True,False,English,None,2026-06-02
PR000130,C000130,True,False,English,Email,2024-03-17
PR000131,C000131,True,True,English,Email,2025-10-16
PR000132,C000132,True,True,English,Email,2025-02-02
PR000133,C000133,False,True,English,SMS,2026-06-05
PR000134,C000134,True,True,English,None,2025-02-01
PR000135,C000135,False,False,English,None,2026-03-13
PR000136,C000136,True,True,English,SMS,2025-01-13
PR000137,C000137,True,True,Spanish,None,2025-08-14
PR000138,C000138,False,True,English,SMS,2023-08-10
PR000139,C000139,True,True,Spanish,None,2026-02-05
PR000140,C000140,True,False,English,None,2025-08-30
PR000141,C000141,True,False,English,Mobile App,2025-12-17
PR000142,C000142,False,False,English,Mobile App,2026-06-07
PR000143,C000143,True,True,Spanish,SMS,2025-10-10
PR000144,C000144,True,True,Spanish,Email,2024-12-28
PR000145,C000145,True,True,English,None,2024-07-01
PR000146,C000146,False,False,Spanish,Email,2025-08-16
PR000147,C000147,False,False,English,Mobile App,2026-05-11
PR000148,C000148,True,True,English,None,2026-06-07
PR000149,C000149,True,True,Spanish,None,2024-03-18
PR000150,C000150,True,False,English,SMS,2025-12-21
PR000151,C000151,False,True,English,SMS,2023-07-25
PR000152,C000152,True,True,English,Mobile App,2022-08-23
PR000153,C000153,True,True,English,None,2025-04-25
PR000154,C000154,True,True,English,None,2025-12-13
PR000155,C000155,True,True,English,Email,2026-04-11
PR000156,C000156,True,True,Spanish,SMS,2026-06-15
PR000157,C000157,False,True,English,Mobile App,2025-09-11
PR000158,C000158,True,True,English,None,2026-05-23
PR000159,C000159,True,True,English,Email,2023-02-05
PR000160,C000160,False,True,English,None,2026-04-13
PR000161,C000161,False,True,Spanish,SMS,2026-06-16
PR000162,C000162,True,True,English,SMS,2025-12-06
PR000163,C000163,False,True,English,Mobile App,2023-08-15
PR000164,C000164,True,True,English,None,2026-06-12
PR000165,C000165,True,True,English,Mobile App,2026-01-11
PR000166,C000166,True,False,English,SMS,2026-02-09
PR000167,C000167,True,True,Spanish,Mobile App,2026-03-18
PR000168,C000168,True,True,English,Email,2026-03-31
PR000169,C000169,True,True,Spanish,None,2025-10-09
PR000170,C000170,True,True,English,Mobile App,2026-06-25
PR000171,C000171,True,False,English,SMS,2025-04-24
PR000172,C000172,True,True,English,Email,2024-02-05
PR000173,C000173,False,True,English,Mobile App,2025-12-28
PR000174,C000174,True,True,English,Mobile App,2024-01-26
PR000175,C000175,True,True,Spanish,None,2024-05-04
PR000176,C000176,True,True,English,Email,2026-05-15
PR000177,C000177,True,True,English,Email,2025-07-29
PR000178,C000178,True,True,English,SMS,2025-05-02
PR000179,C000179,False,True,English,Email,2025-10-17
PR000180,C000180,False,True,English,Mobile App,2023-11-26
PR000181,C000181,True,False,English,Email,2023-08-25
PR000182,C000182,True,True,English,Mobile App,2026-04-16
PR000183,C000183,True,True,English,None,2025-10-19
PR000184,C000184,False,True,English,Email,2023-09-18
PR000185,C000185,True,False,Spanish,None,2026-04-09
PR000186,C000186,True,False,English,Email,2024-09-25
PR000187,C000187,True,True,Spanish,Mobile App,2026-05-27
PR000188,C000188,True,True,Spanish,None,2025-07-08
PR000189,C000189,True,False,Spanish,SMS,2025-06-02
PR000190,C000190,False,False,Spanish,Email,2026-07-06
PR000191,C000191,False,True,Spanish,Mobile App,2026-05-22
PR000192,C000192,True,True,English,Email,2026-06-22
PR000193,C000193,True,True,Spanish,Mobile App,2025-07-18
PR000194,C000194,False,False,Spanish,SMS,2025-06-20
PR000195,C000195,True,False,English,None,2026-04-23
PR000196,C000196,True,True,Spanish,SMS,2025-06-09
PR000197,C000197,False,True,Spanish,None,2024-07-12
PR000198,C000198,True,False,English,Email,2026-06-27
PR000199,C000199,True,True,Spanish,None,2023-04-06
PR000200,C000200,True,True,Spanish,Mobile App,2026-04-02
PR000201,C000201,False,False,Spanish,Email,2026-06-12
PR000202,C000202,True,False,Spanish,None,2025-09-05
PR000203,C000203,True,True,English,Mobile App,2026-01-06
PR000204,C000204,True,True,English,Mobile App,2026-01-13
PR000205,C000205,True,True,Spanish,None,2025-07-12
PR000206,C000206,True,False,English,Email,2025-02-13
PR000207,C000207,True,True,English,SMS,2025-12-11
PR000208,C000208,True,True,English,Mobile App,2025-03-08
PR000209,C000209,False,False,Spanish,Mobile App,2026-01-28
PR000210,C000210,True,True,English,SMS,2025-02-02
PR000211,C000211,True,False,Spanish,None,2026-04-06
PR000212,C000212,True,True,English,Mobile App,2024-01-11
PR000213,C000213,True,True,English,Email,2025-05-22
PR000214,C000214,False,True,English,None,2025-12-11
PR000215,C000215,False,True,English,None,2026-01-25
PR000216,C000216,True,True,English,Mobile App,2022-05-19
PR000217,C000217,True,True,English,Email,2025-08-10
PR000218,C000218,False,True,Spanish,None,2025-12-28
PR000219,C000219,True,True,English,Email,2026-06-30
PR000220,C000220,True,False,English,None,2026-07-03
PR000221,C000221,True,True,English,SMS,2023-02-18
PR000222,C000222,False,False,English,None,2024-11-22
PR000223,C000223,True,False,English,Mobile App,2024-10-15
PR000224,C000224,False,False,Spanish,SMS,2024-03-20
PR000225,C000225,True,True,English,None,2025-03-05
PR000226,C000226,True,True,English,Mobile App,2026-05-05
PR000227,C000227,False,False,English,Email,2026-05-02
PR000228,C000228,True,True,Spanish,SMS,2025-01-05
PR000229,C000229,True,False,English,Mobile App,2024-05-11
PR000230,C000230,True,False,English,None,2025-04-28
PR000231,C000231,True,True,English,Email,2024-06-02
PR000232,C000232,True,False,English,Mobile App,2025-04-16
PR000233,C000233,True,True,English,None,2025-09-27
PR000234,C000234,True,False,Spanish,SMS,2025-02-06
PR000235,C000235,True,True,Spanish,SMS,2023-03-30
PR000236,C000236,True,True,Spanish,Mobile App,2024-07-12
PR000237,C000237,True,True,English,Mobile App,2025-03-04
PR000238,C000238,False,True,English,Mobile App,2025-09-10
PR000239,C000239,True,False,English,Email,2025-11-30
PR000240,C000240,True,True,English,Email,2025-10-17
PR000241,C000241,False,True,English,Email,2026-07-07
PR000242,C000242,True,True,English,SMS,2023-07-12
PR000243,C000243,False,False,Spanish,SMS,2026-05-06
PR000244,C000244,False,True,Spanish,None,2024-01-30
PR000245,C000245,False,False,Spanish,Email,2026-05-03
PR000246,C000246,True,True,English,None,2024-06-14
PR000247,C000247,True,False,English,Mobile App,2023-09-06
PR000248,C000248,False,True,English,None,2025-08-14
PR000249,C000249,True,False,English,SMS,2026-06-09
PR000250,C000250,False,True,English,None,2026-05-23
PR000251,C000251,True,True,English,Mobile App,2023-07-01
PR000252,C000252,True,True,Spanish,SMS,2025-10-08
PR000253,C000253,False,True,English,SMS,2026-05-26
PR000254,C000254,True,False,English,SMS,2025-04-21
PR000255,C000255,True,False,English,SMS,2024-12-07
PR000256,C000256,True,False,Spanish,None,2022-03-23
PR000257,C000257,True,True,English,None,2024-11-17
PR000258,C000258,True,False,English,Mobile App,2024-09-30
PR000259,C000259,True,True,English,Mobile App,2025-12-20
PR000260,C000260,True,True,English,SMS,2024-01-27
PR000261,C000261,True,False,English,None,2023-02-26
PR000262,C000262,True,False,English,Mobile App,2025-12-11
PR000263,C000263,True,False,Spanish,Mobile App,2026-04-13
PR000264,C000264,False,False,Spanish,None,2024-04-03
PR000265,C000265,True,True,English,Mobile App,2025-11-22
PR000266,C000266,False,True,English,None,2026-07-03
PR000267,C000267,True,True,English,SMS,2025-10-21
PR000268,C000268,True,True,English,None,2023-06-29
PR000269,C000269,False,False,English,SMS,2024-08-29
PR000270,C000270,False,True,English,None,2026-06-24
PR000271,C000271,False,True,English,Mobile App,2025-05-15
PR000272,C000272,True,True,English,Mobile App,2024-05-07
PR000273,C000273,True,False,English,None,2025-05-03
PR000274,C000274,True,True,Spanish,SMS,2025-06-21
PR000275,C000275,True,False,English,Email,2022-12-31
PR000276,C000276,True,True,English,None,2026-07-05
PR000277,C000277,True,True,English,Mobile App,2026-07-03
PR000278,C000278,True,True,Spanish,None,2025-04-19
PR000279,C000279,True,True,English,SMS,2026-03-10
PR000280,C000280,True,True,Spanish,Mobile App,2024-11-08
PR000281,C000281,True,True,English,Mobile App,2026-01-11
PR000282,C000282,True,True,English,Mobile App,2026-06-17
PR000283,C000283,True,True,English,Mobile App,2026-03-22
PR000284,C000284,True,True,English,Mobile App,2024-06-04
PR000285,C000285,True,True,English,None,2025-04-07
PR000286,C000286,True,True,English,SMS,2024-05-13
PR000287,C000287,True,False,English,None,2025-04-16
PR000288,C000288,True,True,Spanish,SMS,2025-04-23
PR000289,C000289,True,True,English,Email,2024-08-12
PR000290,C000290,True,True,English,Email,2025-03-20
PR000291,C000291,True,True,English,SMS,2026-06-26
PR000292,C000292,True,False,English,None,2026-03-02
PR000293,C000293,False,True,English,None,2025-07-20
PR000294,C000294,True,False,Spanish,None,2025-03-20
PR000295,C000295,True,True,English,Mobile App,2024-06-04
PR000296,C000296,True,True,English,SMS,2025-09-17
PR000297,C000297,True,False,Spanish,SMS,2025-07-01
PR000298,C000298,False,True,English,None,2024-07-08
PR000299,C000299,True,True,English,None,2025-05-30
PR000300,C000300,True,True,Spanish,None,2024-03-17
PR000301,C000301,True,True,Spanish,Mobile App,2026-07-07
PR000302,C000302,True,False,Spanish,None,2026-06-01
PR000303,C000303,True,False,English,Email,2024-06-10
PR000304,C000304,True,False,Spanish,SMS,2025-02-03
PR000305,C000305,True,True,English,None,2026-06-12
PR000306,C000306,True,True,English,Mobile App,2025-12-19
PR000307,C000307,True,False,Spanish,None,2022-08-09
PR000308,C000308,True,True,English,SMS,2024-11-15
PR000309,C000309,True,False,English,Mobile App,2025-05-02
PR000310,C000310,True,False,English,SMS,2024-08-17
PR000311,C000311,True,True,English,Email,2025-01-06
PR000312,C000312,True,False,English,Mobile App,2024-12-21
PR000313,C000313,True,False,English,SMS,2026-07-03
PR000314,C000314,False,True,English,Email,2025-08-23
PR000315,C000315,True,True,English,SMS,2024-06-14
PR000316,C000316,True,False,English,Mobile App,2025-04-21
PR000317,C000317,True,False,English,SMS,2026-06-23
PR000318,C000318,True,True,English,Email,2025-10-23
PR000319,C000319,False,True,English,Mobile App,2022-11-17
PR000320,C000320,False,False,Spanish,Email,2024-02-25
PR000321,C000321,True,False,English,None,2026-03-15
PR000322,C000322,True,True,English,Mobile App,2026-04-19
PR000323,C000323,False,False,English,SMS,2025-08-06
PR000324,C000324,False,True,English,Email,2026-06-27
PR000325,C000325,True,False,Spanish,Mobile App,2023-05-09
PR000326,C000326,False,False,English,None,2026-03-17
PR000327,C000327,False,False,Spanish,SMS,2025-06-03
