inventory_id,store_id,product_id,quantity_on_hand,reorder_level,last_updated_date
INV0000001,ST0001,P000017,46,37,2026-07-02
INV0000002,ST0001,P000004,326,50,2026-06-30
INV0000003,ST0001,P000003,298,73,2026-06-30
INV0000004,ST0001,P000011,70,74,2026-06-10
INV0000005,ST0001,P000006,299,89,2026-06-10
INV0000006,ST0001,P000010,414,42,2026-06-11
INV0000007,ST0001,P000018,28,28,2026-07-01
INV0000008,ST0001,P000020,305,21,2026-07-01
INV0000009,ST0001,P000007,404,95,2026-06-23
INV0000010,ST0001,P000002,278,82,2026-07-05
INV0000011,ST0001,P000014,197,66,2026-07-03
INV0000012,ST0001,P000019,381,52,2026-06-08
INV0000013,ST0001,P000005,455,78,2026-07-04
INV0000014,ST0001,P000009,431,89,2026-06-23
INV0000015,ST0001,P000015,135,36,2026-06-22
INV0000016,ST0002,P000015,468,76,2026-06-17
INV0000017,ST0002,P000008,456,57,2026-06-27
INV0000018,ST0002,P000019,59,87,2026-06-15
INV0000019,ST0002,P000002,190,27,2026-06-21
INV0000020,ST0002,P000003,495,61,2026-07-04
INV0000021,ST0002,P000004,500,44,2026-06-28
INV0000022,ST0002,P000005,334,45,2026-07-01
INV0000023,ST0002,P000012,394,35,2026-06-17
INV0000024,ST0002,P000001,56,91,2026-06-21
INV0000025,ST0002,P000020,130,50,2026-07-06
INV0000026,ST0002,P000010,256,57,2026-07-06
INV0000027,ST0002,P000016,453,78,2026-06-29
INV0000028,ST0002,P000009,299,76,2026-06-14
INV0000029,ST0002,P000007,445,72,2026-07-04
INV0000030,ST0002,P000011,40,23,2026-06-14
INV0000031,ST0003,P000013,283,97,2026-06-17
INV0000032,ST0003,P000005,257,52,2026-06-30
INV0000033,ST0003,P000018,192,75,2026-06-20
INV0000034,ST0003,P000010,228,27,2026-06-13
INV0000035,ST0003,P000008,326,23,2026-06-29
INV0000036,ST0003,P000004,43,69,2026-06-29
INV0000037,ST0003,P000006,79,32,2026-06-28
INV0000038,ST0003,P000002,205,66,2026-06-30
INV0000039,ST0003,P000019,176,60,2026-06-22
INV0000040,ST0003,P000020,454,95,2026-07-01
INV0000041,ST0003,P000011,471,31,2026-07-07
INV0000042,ST0003,P000009,467,62,2026-07-03
INV0000043,ST0003,P000001,370,32,2026-06-28
INV0000044,ST0003,P000017,260,46,2026-06-12
INV0000045,ST0003,P000007,330,47,2026-07-07
INV0000046,ST0004,P000014,280,44,2026-06-24
INV0000047,ST0004,P000002,451,51,2026-06-12
INV0000048,ST0004,P000015,356,79,2026-06-25
INV0000049,ST0004,P000017,269,78,2026-07-07
INV0000050,ST0004,P000016,14,80,2026-06-12
INV0000051,ST0004,P000006,355,79,2026-06-21
INV0000052,ST0004,P000004,475,47,2026-06-30
INV0000053,ST0004,P000001,313,31,2026-06-17
INV0000054,ST0004,P000012,242,93,2026-06-12
INV0000055,ST0004,P000010,289,76,2026-06-30
INV0000056,ST0004,P000013,335,40,2026-07-06
INV0000057,ST0004,P000019,245,30,2026-06-22
INV0000058,ST0004,P000008,351,37,2026-07-04
INV0000059,ST0004,P000005,195,82,2026-06-09
INV0000060,ST0004,P000007,55,21,2026-06-30
INV0000061,ST0005,P000009,34,31,2026-07-02
INV0000062,ST0005,P000010,81,85,2026-06-30
INV0000063,ST0005,P000007,469,71,2026-06-22
INV0000064,ST0005,P000019,406,86,2026-06-26
INV0000065,ST0005,P000008,325,34,2026-07-02
INV0000066,ST0005,P000018,418,26,2026-06-15
INV0000067,ST0005,P000020,66,83,2026-06-21
INV0000068,ST0005,P000002,439,76,2026-06-26
INV0000069,ST0005,P000016,297,79,2026-06-20
INV0000070,ST0005,P000015,2,37,2026-06-16
