loyalty_id,customer_id,loyalty_tier,points_balance,enrollment_date,account_status
L000001,C006253,Gold,5485,2023-05-19,Active
L000002,C004685,Bronze,7528,2024-10-14,Active
L000003,C001732,Bronze,8182,2025-07-07,Inactive
L000004,C004743,Gold,9480,2025-11-09,Active
L000005,C004522,Bronze,8840,2025-09-26,Active
L000006,C006341,Platinum,8109,2026-03-22,Active
L000007,C000577,Silver,8153,2026-02-23,Inactive
L000008,C005203,Gold,2086,2026-04-17,Inactive
L000009,C006364,Gold,1037,2026-06-21,Inactive
L000010,C000440,Gold,5652,2026-06-16,Active
L000011,C002751,Platinum,312,2026-07-06,Active
L000012,C007488,Silver,3428,2024-08-27,Active
L000013,C005273,Gold,9579,2026-05-07,Active
L000014,C005654,Silver,4225,2023-01-13,Active
L000015,C004000,Bronze,9104,2026-01-28,Active
L000016,C006034,Platinum,9634,2026-06-27,Active
L000017,C000583,Platinum,4520,2026-02-15,Active
L000018,C009931,Gold,8007,2025-11-29,Active
L000019,C007052,Platinum,2768,2026-03-30,Active
L000020,C008159,Bronze,757,2025-05-13,Active
L000021,C009897,Silver,2994,2024-08-13,Active
L000022,C002250,Gold,7087,2024-05-18,Inactive
L000023,C004641,Platinum,9630,2022-12-14,Inactive
L000024,C009486,Gold,3715,2024-04-04,Active
L000025,C004948,Bronze,7127,2023-12-12,Active
L000026,C009921,Bronze,704,2024-10-03,Active
L000027,C001964,Bronze,4909,2025-06-17,Active
L000028,C008244,Gold,832,2025-12-15,Active
L000029,C006591,Bronze,2754,2025-03-08,Active
L000030,C008848,Gold,6281,2026-06-10,Active
L000031,C000322,Gold,2431,2024-06-27,Active
L000032,C002679,Platinum,2091,2024-09-15,Active
L000033,C004626,Bronze,2828,2025-07-20,Inactive
L000034,C004950,Bronze,2054,2026-04-14,Active
L000035,C008329,Bronze,4134,2026-01-19,Active
L000036,C003338,Gold,4639,2025-01-19,Active
L000037,C005590,Silver,6765,2026-06-10,Active
L000038,C000252,Bronze,2591,2024-12-22,Active
L000039,C003974,Gold,8504,2026-05-19,Active
L000040,C006631,Gold,6174,2026-04-10,Inactive
L000041,C005548,Gold,3316,2024-11-04,Inactive
L000042,C000036,Platinum,341,2023-06-01,Inactive
L000043,C008363,Gold,1442,2026-02-26,Active
L000044,C001514,Platinum,4993,2026-03-30,Active
L000045,C009318,Gold,6289,2025-07-09,Active
L000046,C000040,Gold,8233,2026-06-30,Active
L000047,C004820,Gold,2676,2022-07-23,Active
L000048,C003466,Platinum,7716,2026-02-14,Inactive
L000049,C001761,Gold,2162,2025-06-06,Inactive
L000050,C002305,Silver,6068,2025-10-06,Active
L000051,C003724,Bronze,5563,2024-10-26,Active
L000052,C008285,Gold,5653,2025-01-19,Active
L000053,C004994,Silver,3032,2026-06-03,Active
L000054,C008128,Platinum,3422,2023-08-21,Active
L000055,C003033,Gold,8799,2026-06-24,Active
L000056,C007939,Gold,5682,2026-01-17,Active
L000057,C003040,Bronze,5837,2023-01-23,Inactive
L000058,C009656,Bronze,828,2025-10-15,Inactive
L000059,C002546,Bronze,2048,2023-04-04,Active
L000060,C002593,Gold,9604,2026-06-19,Active
L000061,C001189,Silver,1027,2026-06-21,Inactive
L000062,C007967,Bronze,281,2024-03-22,Active
L000063,C006078,Silver,4915,2023-09-25,Active
L000064,C000108,Platinum,2348,2026-04-13,Active
L000065,C001316,Platinum,1907,2024-09-10,Active
L000066,C008188,Silver,5004,2026-04-25,Active
L000067,C002754,Silver,6373,2026-02-22,Inactive
L000068,C009754,Silver,9003,2025-09-24,Active
L000069,C006232,Gold,61,2024-09-09,Active
L000070,C002877,Bronze,890,2025-07-26,Inactive
L000071,C005324,Gold,5371,2025-08-25,Active
L000072,C000800,Silver,5882,2025-01-19,Active
L000073,C003571,Bronze,8092,2026-07-06,Active
L000074,C002895,Gold,9656,2023-11-22,Active
L000075,C002928,Bronze,5035,2025-01-16,Active
L000076,C008179,Gold,5053,2026-06-30,Active
L000077,C000972,Bronze,1082,2026-06-02,Active
L000078,C006688,Platinum,3899,2025-10-18,Active
L000079,C008576,Gold,4500,2024-03-04,Active
L000080,C002021,Platinum,141,2026-06-15,Inactive
L000081,C009055,Silver,9031,2023-06-13,Active
L000082,C000953,Gold,9630,2026-01-10,Inactive
L000083,C005360,Silver,6287,2026-07-05,Inactive
L000084,C003858,Platinum,7097,2026-03-07,Active
L000085,C005862,Gold,344,2026-01-01,Active
L000086,C003146,Gold,3048,2024-10-01,Inactive
L000087,C003306,Gold,3098,2025-09-21,Active
L000088,C003007,Silver,6582,2022-03-14,Active
L000089,C009002,Platinum,7941,2025-12-13,Active
L000090,C007771,Silver,5200,2024-05-16,Active
L000091,C007439,Gold,7735,2026-07-06,Active
L000092,C007943,Silver,4739,2026-04-13,Active
L000093,C009239,Platinum,3048,2024-08-21,Inactive
L000094,C001057,Gold,7504,2026-03-25,Active
L000095,C003155,Silver,6829,2024-12-20,Active
L000096,C003788,Platinum,5074,2024-12-18,Active
L000097,C009190,Gold,5538,2024-05-10,Inactive
L000098,C007826,Gold,8854,2026-06-30,Inactive
L000099,C007540,Platinum,2945,2026-06-21,Active
L000100,C007232,Platinum,671,2025-05-26,Active
L000101,C000765,Platinum,672,2025-12-10,Inactive
L000102,C005020,Gold,9040,2026-04-25,Active
L000103,C004904,Gold,5652,2024-12-05,Active
L000104,C008094,Bronze,2884,2023-09-29,Active
L000105,C006844,Platinum,4959,2025-05-28,Inactive
L000106,C002166,Platinum,2269,2025-11-07,Active
