store_id,store_name,city,state,region,store_type,open_date,active_status
ST0001,HealthMart Miami #1,Miami,FL,South Florida,Retail,2017-01-05,Active
ST0002,HealthMart Miami #2,Miami,FL,South Florida,Retail,2025-04-09,Active
ST0003,HealthMart Miami #3,Miami,FL,South Florida,Retail,2017-12-04,Inactive
ST0004,HealthMart Miami #4,Miami,FL,South Florida,Retail,2017-06-12,Inactive
ST0005,HealthMart Miami #5,Miami,FL,South Florida,Pharmacy Plus,2016-05-27,Inactive
ST0006,HealthMart Miami #6,Miami,FL,South Florida,Retail,2022-06-29,Inactive
ST0007,HealthMart Miami #7,Miami,FL,South Florida,Retail,2020-04-24,Active
ST0008,HealthMart Miami #8,Miami,FL,South Florida,Pharmacy Plus,2012-09-17,Active
ST0009,HealthMart Miami #9,Miami,FL,South Florida,Retail,2021-02-11,Active
ST0010,HealthMart Miami #10,Miami,FL,South Florida,Retail,2021-01-15,Active
ST0011,HealthMart Miami #11,Miami,FL,South Florida,Retail,2015-10-10,Inactive
ST0012,HealthMart Miami #12,Miami,FL,South Florida,Retail,2012-04-10,Inactive
ST0013,HealthMart Miami #13,Miami,FL,South Florida,Retail,2018-05-02,Inactive
ST0014,HealthMart Miami #14,Miami,FL,South Florida,Retail,2024-12-19,Active
ST0015,HealthMart Miami #15,Miami,FL,South Florida,Retail,2019-12-18,Inactive
ST0016,HealthMart Miami #16,Miami,FL,South Florida,Retail,2023-10-21,Active
ST0017,HealthMart Miami #17,Miami,FL,South Florida,Retail,2019-11-01,Active
ST0018,HealthMart Miami #18,Miami,FL,South Florida,Retail,2025-05-28,Active
ST0019,HealthMart Miami #19,Miami,FL,South Florida,Retail,2020-06-25,Active
ST0020,HealthMart Miami #20,Miami,FL,South Florida,Retail,2014-03-13,Active
ST0021,HealthMart Miami #21,Miami,FL,South Florida,Pharmacy Plus,2022-04-06,Active
ST0022,HealthMart Miami #22,Miami,FL,South Florida,Retail,2016-03-14,Active
ST0023,HealthMart Miami #23,Miami,FL,South Florida,Retail,2020-05-31,Inactive
ST0024,HealthMart Miami #24,Miami,FL,South Florida,Retail,2022-06-01,Active
ST0025,HealthMart Miami #25,Miami,FL,South Florida,Pharmacy Plus,2018-07-13,Active
ST0026,HealthMart Miami #26,Miami,FL,South Florida,Retail,2025-04-20,Active
ST0027,HealthMart Miami #27,Miami,FL,South Florida,Pharmacy Plus,2013-08-28,Inactive
ST0028,HealthMart Miami #28,Miami,FL,South Florida,Pharmacy Plus,2023-06-05,Active
ST0029,HealthMart Miami #29,Miami,FL,South Florida,Retail,2013-06-03,Active
ST0030,HealthMart Miami #30,Miami,FL,South Florida,Retail,2022-01-02,Active
ST0031,HealthMart Miami #31,Miami,FL,South Florida,Pharmacy Plus,2024-06-29,Active
ST0032,HealthMart Fort Lauderdale #32,Fort Lauderdale,FL,South Florida,Retail,2015-04-08,Inactive
ST0033,HealthMart Fort Lauderdale #33,Fort Lauderdale,FL,South Florida,Retail,2016-08-15,Active
ST0034,HealthMart Fort Lauderdale #34,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2024-07-15,Inactive
ST0035,HealthMart Fort Lauderdale #35,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2017-06-11,Inactive
ST0036,HealthMart Fort Lauderdale #36,Fort Lauderdale,FL,South Florida,Retail,2017-02-19,Active
ST0037,HealthMart Fort Lauderdale #37,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2013-04-14,Active
ST0038,HealthMart Fort Lauderdale #38,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2012-10-19,Active
ST0039,HealthMart Fort Lauderdale #39,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2024-03-31,Inactive
ST0040,HealthMart Fort Lauderdale #40,Fort Lauderdale,FL,South Florida,Retail,2021-10-14,Inactive
ST0041,HealthMart Fort Lauderdale #41,Fort Lauderdale,FL,South Florida,Pharmacy Plus,2013-06-02,Active
