supplier_id,supplier_name,supplier_type,country,state,city,contact_email,phone,active_status
S0001,Montgomery and Sons,Personal Care,USA,FL,Tampa,lori20@mcdaniel.net,(880)848-9303,Active
S0002,Gonzales-Pena,OTC Products,USA,FL,Fort Lauderdale,hancocklawrence@simon-king.org,(839)620-8697x656,Active
S0003,Gonzalez-Johnson,Personal Care,USA,FL,Hollywood,gary17@washington.com,932.689.3416x814,Inactive
S0004,"Mckay, Johnson and Smith",Medical Device,USA,FL,Miami,johndelacruz@horton-miller.com,8835411732,Active
S0005,Duran-Walsh,Medical Device,USA,FL,Tallahassee,jamescrane@jordan.com,+1-775-635-2465,Inactive
S0006,Williams PLC,Personal Care,USA,FL,Jacksonville,nsmith@lopez-lawson.biz,831.215.8007x842,Active
S0007,"Johnson, Davis and Shields",OTC Products,USA,FL,Tampa,carolyn10@terrell-garcia.org,210.532.4001x624,Active
S0008,Morgan Inc,Personal Care,USA,FL,Coral Springs,kevin59@ellison.com,(934)753-5068,Active
S0009,Mata LLC,OTC Products,USA,FL,Davie,xavier99@hogan.info,785.479.3737,Active
S0010,Gutierrez Ltd,Personal Care,USA,FL,Hollywood,pamelaavery@johnson-huber.info,900-216-0777x738,Inactive
S0011,"Lindsey, Zimmerman and Shelton",OTC Products,USA,FL,Gainesville,simskathleen@murray.com,001-880-532-9218,Active
S0012,Silva LLC,Medical Device,USA,FL,Orlando,bonillamelissa@rogers-sanders.net,(997)734-5176,Active
S0013,"Jones, Andrews and Shepherd",Personal Care,USA,FL,Pembroke Pines,cynthiaespinoza@lane.com,(674)596-8253,Active
S0014,Reid Inc,Supplement,USA,FL,Orlando,mary86@schneider-winters.com,(671)622-0239,Active
S0015,Moreno Ltd,Medical Device,USA,FL,Pembroke Pines,grahamjoan@larson.org,+1-824-664-9426x367,Inactive
S0016,"West, Pratt and Smith",Supplement,USA,FL,Coral Springs,danielsmichele@arnold-shaw.com,5722316329,Active
S0017,"Moore, Cooper and Shepard",Personal Care,USA,FL,Sarasota,debbiebarnett@richardson.biz,789-646-0437,Active
S0018,"Le, Hanna and Blevins",Pharmaceutical,USA,FL,Naples,vmooney@owens.biz,587-414-1163x32551,Inactive
S0019,Roach and Sons,Medical Device,USA,FL,Boca Raton,mrivera@rogers-mccoy.net,465.832.6164x62676,Inactive
S0020,Cobb and Sons,OTC Products,USA,FL,Naples,christian37@horton.com,791.761.5592x72105,Active
S0021,"Lamb, Flores and Hickman",Supplement,USA,FL,Coral Springs,zmiller@hart-mueller.com,333-954-0735,Active
S0022,Russell-Donovan,Personal Care,USA,FL,Miami,smithkim@myers.org,001-824-434-7219x8439,Inactive
S0023,Gibson-Atkins,Personal Care,USA,FL,Orlando,lprice@armstrong.org,576-269-6361x0017,Active
S0024,Bailey-Martin,Pharmaceutical,USA,FL,Naples,hawkinssarah@jones.com,523.577.9275,Active
S0025,Ali-Sampson,Supplement,USA,FL,Naples,michael02@oliver.com,6237619881,Inactive
