transaction_item_id,transaction_id,product_id,quantity,unit_price,line_total
TI00000001,T0000001,P000010,2,43.23,86.46
TI00000002,T0000001,P000011,3,19.19,57.57
TI00000003,T0000001,P000019,3,32.28,96.84
TI00000004,T0000001,P000016,3,49.09,147.27
TI00000005,T0000002,P000006,4,9.16,36.64
TI00000006,T0000003,P000007,3,44.35,133.05
TI00000007,T0000003,P000013,3,13.19,39.57
TI00000008,T0000004,P000006,1,9.16,9.16
TI00000009,T0000005,P000009,1,33.09,33.09
TI00000010,T0000005,P000016,4,49.09,196.36
TI00000011,T0000005,P000004,1,39.36,39.36
TI00000012,T0000006,P000004,2,39.36,78.72
TI00000013,T0000006,P000019,3,32.28,96.84
TI00000014,T0000006,P000007,4,44.35,177.4
TI00000015,T0000007,P000010,4,43.23,172.92
TI00000016,T0000007,P000013,2,13.19,26.38
TI00000017,T0000007,P000012,1,42.38,42.38
TI00000018,T0000007,P000011,3,19.19,57.57
TI00000019,T0000007,P000006,1,9.16,9.16
TI00000020,T0000008,P000012,4,42.38,169.52
TI00000021,T0000009,P000020,2,58.91,117.82
TI00000022,T0000009,P000019,4,32.28,129.12
TI00000023,T0000010,P000017,1,43.77,43.77
TI00000024,T0000010,P000015,2,49.37,98.74
TI00000025,T0000010,P000005,4,49.07,196.28
TI00000026,T0000010,P000003,4,10.3,41.2
TI00000027,T0000010,P000011,4,19.19,76.76
TI00000028,T0000011,P000011,1,19.19,19.19
TI00000029,T0000011,P000018,2,32.67,65.34
TI00000030,T0000012,P000004,1,39.36,39.36
TI00000031,T0000012,P000019,1,32.28,32.28
TI00000032,T0000012,P000011,2,19.19,38.38
TI00000033,T0000012,P000002,3,56.39,169.17
TI00000034,T0000013,P000008,1,52.62,52.62
TI00000035,T0000013,P000007,1,44.35,44.35
TI00000036,T0000013,P000003,4,10.3,41.2
TI00000037,T0000013,P000017,4,43.77,175.08
TI00000038,T0000014,P000011,2,19.19,38.38
TI00000039,T0000014,P000010,2,43.23,86.46
TI00000040,T0000015,P000001,2,27.25,54.5
TI00000041,T0000015,P000003,1,10.3,10.3
TI00000042,T0000015,P000014,1,24.75,24.75
TI00000043,T0000015,P000015,1,49.37,49.37
TI00000044,T0000016,P000017,1,43.77,43.77
TI00000045,T0000017,P000015,3,49.37,148.11
TI00000046,T0000017,P000004,1,39.36,39.36
TI00000047,T0000017,P000014,1,24.75,24.75
TI00000048,T0000017,P000013,4,13.19,52.76
TI00000049,T0000017,P000006,2,9.16,18.32
TI00000050,T0000018,P000015,4,49.37,197.48
TI00000051,T0000018,P000016,2,49.09,98.18
TI00000052,T0000019,P000005,2,49.07,98.14
TI00000053,T0000020,P000018,1,32.67,32.67
TI00000054,T0000020,P000012,3,42.38,127.14
TI00000055,T0000020,P000014,1,24.75,24.75
TI00000056,T0000020,P000009,3,33.09,99.27
TI00000057,T0000021,P000020,3,58.91,176.73
TI00000058,T0000021,P000008,1,52.62,52.62
TI00000059,T0000021,P000003,3,10.3,30.9
TI00000060,T0000022,P000005,3,49.07,147.21
TI00000061,T0000022,P000003,3,10.3,30.9
TI00000062,T0000022,P000013,3,13.19,39.57
TI00000063,T0000022,P000015,2,49.37,98.74
TI00000064,T0000023,P000001,3,27.25,81.75
TI00000065,T0000023,P000018,4,32.67,130.68
TI00000066,T0000023,P000010,4,43.23,172.92
TI00000067,T0000023,P000002,3,56.39,169.17
TI00000068,T0000023,P000015,3,49.37,148.11
TI00000069,T0000024,P000006,2,9.16,18.32
TI00000070,T0000024,P000002,4,56.39,225.56
TI00000071,T0000024,P000013,3,13.19,39.57
TI00000072,T0000024,P000004,2,39.36,78.72
TI00000073,T0000024,P000011,1,19.19,19.19
TI00000074,T0000025,P000018,2,32.67,65.34
TI00000075,T0000026,P000012,4,42.38,169.52
TI00000076,T0000026,P000007,4,44.35,177.4
TI00000077,T0000027,P000009,1,33.09,33.09
TI00000078,T0000027,P000015,2,49.37,98.74
TI00000079,T0000027,P000019,3,32.28,96.84
TI00000080,T0000027,P000005,4,49.07,196.28
TI00000081,T0000027,P000002,1,56.39,56.39
TI00000082,T0000028,P000004,2,39.36,78.72
TI00000083,T0000028,P000010,1,43.23,43.23
TI00000084,T0000028,P000020,3,58.91,176.73
TI00000085,T0000028,P000009,4,33.09,132.36
TI00000086,T0000029,P000015,3,49.37,148.11
TI00000087,T0000029,P000006,3,9.16,27.48
TI00000088,T0000029,P000013,4,13.19,52.76
TI00000089,T0000030,P000009,2,33.09,66.18
TI00000090,T0000031,P000018,1,32.67,32.67
TI00000091,T0000031,P000019,1,32.28,32.28
TI00000092,T0000031,P000011,1,19.19,19.19
TI00000093,T0000031,P000004,3,39.36,118.08
TI00000094,T0000032,P000005,4,49.07,196.28
TI00000095,T0000032,P000020,1,58.91,58.91
TI00000096,T0000032,P000010,3,43.23,129.69
TI00000097,T0000032,P000017,1,43.77,43.77
TI00000098,T0000032,P000014,1,24.75,24.75
TI00000099,T0000033,P000019,1,32.28,32.28
TI00000100,T0000033,P000007,3,44.35,133.05
TI00000101,T0000033,P000008,4,52.62,210.48
TI00000102,T0000033,P000020,1,58.91,58.91
TI00000103,T0000034,P000016,3,49.09,147.27
TI00000104,T0000034,P000009,3,33.09,99.27
TI00000105,T0000034,P000004,3,39.36,118.08
TI00000106,T0000034,P000019,1,32.28,32.28
TI00000107,T0000035,P000004,4,39.36,157.44
TI00000108,T0000035,P000012,2,42.38,84.76
TI00000109,T0000036,P000019,2,32.28,64.56
TI00000110,T0000036,P000002,2,56.39,112.78
TI00000111,T0000036,P000008,4,52.62,210.48
TI00000112,T0000036,P000017,4,43.77,175.08
TI00000113,T0000037,P000016,2,49.09,98.18
TI00000114,T0000038,P000005,3,49.07,147.21
TI00000115,T0000038,P000008,1,52.62,52.62
TI00000116,T0000039,P000012,3,42.38,127.14
TI00000117,T0000040,P000008,3,52.62,157.86
TI00000118,T0000041,P000016,2,49.09,98.18
TI00000119,T0000041,P000001,2,27.25,54.5
TI00000120,T0000042,P000019,1,32.28,32.28
TI00000121,T0000042,P000002,2,56.39,112.78
TI00000122,T0000042,P000015,3,49.37,148.11
TI00000123,T0000042,P000011,1,19.19,19.19
TI00000124,T0000042,P000014,4,24.75,99.0
TI00000125,T0000043,P000011,1,19.19,19.19
TI00000126,T0000043,P000014,2,24.75,49.5
TI00000127,T0000043,P000015,4,49.37,197.48
TI00000128,T0000043,P000013,3,13.19,39.57
TI00000129,T0000043,P000009,2,33.09,66.18
TI00000130,T0000044,P000018,4,32.67,130.68
TI00000131,T0000044,P000004,2,39.36,78.72
TI00000132,T0000044,P000011,3,19.19,57.57
TI00000133,T0000044,P000020,3,58.91,176.73
TI00000134,T0000045,P000004,2,39.36,78.72
TI00000135,T0000045,P000017,3,43.77,131.31
TI00000136,T0000045,P000014,3,24.75,74.25
TI00000137,T0000046,P000014,1,24.75,24.75
TI00000138,T0000046,P000004,1,39.36,39.36
TI00000139,T0000046,P000006,2,9.16,18.32
TI00000140,T0000046,P000003,4,10.3,41.2
TI00000141,T0000047,P000018,1,32.67,32.67
TI00000142,T0000047,P000006,3,9.16,27.48
TI00000143,T0000047,P000015,2,49.37,98.74
TI00000144,T0000047,P000003,3,10.3,30.9
TI00000145,T0000048,P000010,2,43.23,86.46
TI00000146,T0000048,P000019,2,32.28,64.56
TI00000147,T0000049,P000017,1,43.77,43.77
TI00000148,T0000049,P000014,2,24.75,49.5
TI00000149,T0000049,P000010,1,43.23,43.23
TI00000150,T0000050,P000007,4,44.35,177.4
TI00000151,T0000050,P000011,1,19.19,19.19
TI00000152,T0000050,P000010,2,43.23,86.46
TI00000153,T0000050,P000012,2,42.38,84.76
TI00000154,T0000050,P000017,3,43.77,131.31
TI00000155,T0000051,P000018,4,32.67,130.68
TI00000156,T0000051,P000008,4,52.62,210.48
TI00000157,T0000052,P000009,2,33.09,66.18
TI00000158,T0000052,P000017,3,43.77,131.31
TI00000159,T0000052,P000010,2,43.23,86.46
TI00000160,T0000052,P000019,2,32.28,64.56
TI00000161,T0000053,P000018,4,32.67,130.68
TI00000162,T0000053,P000017,4,43.77,175.08
TI00000163,T0000053,P000015,3,49.37,148.11
TI00000164,T0000054,P000001,2,27.25,54.5
TI00000165,T0000054,P000016,3,49.09,147.27
TI00000166,T0000054,P000004,4,39.36,157.44
TI00000167,T0000054,P000003,1,10.3,10.3
TI00000168,T0000055,P000006,4,9.16,36.64
TI00000169,T0000055,P000010,1,43.23,43.23
TI00000170,T0000056,P000015,3,49.37,148.11
TI00000171,T0000056,P000001,1,27.25,27.25
TI00000172,T0000056,P000006,2,9.16,18.32
TI00000173,T0000056,P000019,3,32.28,96.84
TI00000174,T0000057,P000009,1,33.09,33.09
TI00000175,T0000058,P000013,4,13.19,52.76
TI00000176,T0000058,P000008,3,52.62,157.86
TI00000177,T0000058,P000007,3,44.35,133.05
TI00000178,T0000059,P000012,3,42.38,127.14
TI00000179,T0000059,P000001,4,27.25,109.0
TI00000180,T0000059,P000019,2,32.28,64.56
TI00000181,T0000060,P000005,2,49.07,98.14
TI00000182,T0000060,P000014,4,24.75,99.0
TI00000183,T0000060,P000019,4,32.28,129.12
TI00000184,T0000061,P000006,2,9.16,18.32
TI00000185,T0000062,P000019,4,32.28,129.12
TI00000186,T0000062,P000012,2,42.38,84.76
TI00000187,T0000063,P000010,2,43.23,86.46
TI00000188,T0000063,P000005,4,49.07,196.28
TI00000189,T0000064,P000003,1,10.3,10.3
TI00000190,T0000064,P000015,4,49.37,197.48
TI00000191,T0000064,P000012,1,42.38,42.38
TI00000192,T0000065,P000001,4,27.25,109.0
TI00000193,T0000065,P000018,1,32.67,32.67
TI00000194,T0000066,P000020,4,58.91,235.64
TI00000195,T0000066,P000006,1,9.16,9.16
TI00000196,T0000066,P000017,2,43.77,87.54
TI00000197,T0000066,P000004,4,39.36,157.44
TI00000198,T0000067,P000014,3,24.75,74.25
TI00000199,T0000067,P000018,4,32.67,130.68
TI00000200,T0000067,P000012,3,42.38,127.14
TI00000201,T0000067,P000015,2,49.37,98.74
TI00000202,T0000067,P000010,2,43.23,86.46
TI00000203,T0000068,P000008,1,52.62,52.62
TI00000204,T0000068,P000013,1,13.19,13.19
TI00000205,T0000068,P000012,3,42.38,127.14
TI00000206,T0000068,P000003,2,10.3,20.6
TI00000207,T0000068,P000009,3,33.09,99.27
TI00000208,T0000069,P000007,4,44.35,177.4
TI00000209,T0000069,P000008,1,52.62,52.62
TI00000210,T0000069,P000012,4,42.38,169.52
TI00000211,T0000069,P000014,2,24.75,49.5
TI00000212,T0000070,P000003,4,10.3,41.2
TI00000213,T0000071,P000018,3,32.67,98.01
TI00000214,T0000071,P000013,1,13.19,13.19
TI00000215,T0000072,P000010,1,43.23,43.23
TI00000216,T0000072,P000002,1,56.39,56.39
TI00000217,T0000072,P000018,3,32.67,98.01
TI00000218,T0000072,P000015,2,49.37,98.74
TI00000219,T0000072,P000006,3,9.16,27.48
TI00000220,T0000073,P000009,4,33.09,132.36
TI00000221,T0000073,P000010,4,43.23,172.92
TI00000222,T0000074,P000001,1,27.25,27.25
TI00000223,T0000074,P000014,2,24.75,49.5
TI00000224,T0000075,P000008,4,52.62,210.48
TI00000225,T0000076,P000016,3,49.09,147.27
TI00000226,T0000077,P000014,3,24.75,74.25
TI00000227,T0000077,P000010,3,43.23,129.69
TI00000228,T0000078,P000017,2,43.77,87.54
TI00000229,T0000078,P000013,4,13.19,52.76
TI00000230,T0000079,P000001,3,27.25,81.75
TI00000231,T0000079,P000011,3,19.19,57.57
TI00000232,T0000079,P000016,4,49.09,196.36
TI00000233,T0000080,P000019,2,32.28,64.56
TI00000234,T0000080,P000003,4,10.3,41.2
TI00000235,T0000080,P000002,4,56.39,225.56
TI00000236,T0000081,P000015,3,49.37,148.11
TI00000237,T0000081,P000001,4,27.25,109.0
TI00000238,T0000081,P000008,1,52.62,52.62
TI00000239,T0000081,P000018,2,32.67,65.34
TI00000240,T0000082,P000016,3,49.09,147.27
TI00000241,T0000082,P000009,1,33.09,33.09
TI00000242,T0000082,P000004,4,39.36,157.44
TI00000243,T0000082,P000018,4,32.67,130.68
TI00000244,T0000083,P000016,4,49.09,196.36
TI00000245,T0000083,P000008,2,52.62,105.24
TI00000246,T0000083,P000001,4,27.25,109.0
TI00000247,T0000083,P000020,4,58.91,235.64
TI00000248,T0000083,P000003,4,10.3,41.2
TI00000249,T0000084,P000019,4,32.28,129.12
TI00000250,T0000085,P000007,2,44.35,88.7
TI00000251,T0000085,P000014,1,24.75,24.75
TI00000252,T0000086,P000017,1,43.77,43.77
TI00000253,T0000086,P000010,3,43.23,129.69
TI00000254,T0000087,P000011,1,19.19,19.19
TI00000255,T0000087,P000001,4,27.25,109.0
TI00000256,T0000088,P000002,4,56.39,225.56
TI00000257,T0000088,P000017,2,43.77,87.54
TI00000258,T0000088,P000009,1,33.09,33.09
TI00000259,T0000088,P000005,3,49.07,147.21
TI00000260,T0000089,P000006,4,9.16,36.64
TI00000261,T0000089,P000015,1,49.37,49.37
TI00000262,T0000089,P000017,4,43.77,175.08
TI00000263,T0000089,P000005,3,49.07,147.21
TI00000264,T0000090,P000002,3,56.39,169.17
TI00000265,T0000090,P000004,4,39.36,157.44
TI00000266,T0000090,P000020,1,58.91,58.91
TI00000267,T0000090,P000013,2,13.19,26.38
TI00000268,T0000090,P000008,4,52.62,210.48
TI00000269,T0000091,P000017,1,43.77,43.77
TI00000270,T0000091,P000007,3,44.35,133.05
TI00000271,T0000091,P000004,2,39.36,78.72
TI00000272,T0000092,P000005,3,49.07,147.21
TI00000273,T0000092,P000011,2,19.19,38.38
TI00000274,T0000092,P000003,4,10.3,41.2
TI00000275,T0000092,P000007,1,44.35,44.35
TI00000276,T0000093,P000008,2,52.62,105.24
TI00000277,T0000093,P000002,3,56.39,169.17
TI00000278,T0000093,P000012,3,42.38,127.14
TI00000279,T0000094,P000002,2,56.39,112.78
TI00000280,T0000095,P000009,3,33.09,99.27
TI00000281,T0000095,P000010,3,43.23,129.69
TI00000282,T0000096,P000005,2,49.07,98.14
TI00000283,T0000096,P000003,2,10.3,20.6
TI00000284,T0000097,P000007,2,44.35,88.7
TI00000285,T0000097,P000013,3,13.19,39.57
TI00000286,T0000097,P000020,2,58.91,117.82
TI00000287,T0000097,P000002,2,56.39,112.78
TI00000288,T0000098,P000013,4,13.19,52.76
TI00000289,T0000099,P000003,4,10.3,41.2
TI00000290,T0000099,P000011,1,19.19,19.19
TI00000291,T0000099,P000017,2,43.77,87.54
TI00000292,T0000099,P000015,2,49.37,98.74
TI00000293,T0000100,P000018,2,32.67,65.34
TI00000294,T0000100,P000005,1,49.07,49.07
TI00000295,T0000101,P000009,4,33.09,132.36
TI00000296,T0000102,P000010,1,43.23,43.23
TI00000297,T0000102,P000019,3,32.28,96.84
TI00000298,T0000102,P000016,4,49.09,196.36
TI00000299,T0000102,P000020,4,58.91,235.64
TI00000300,T0000103,P000020,2,58.91,117.82
TI00000301,T0000103,P000016,4,49.09,196.36
TI00000302,T0000103,P000012,4,42.38,169.52
TI00000303,T0000103,P000004,3,39.36,118.08
TI00000304,T0000103,P000007,1,44.35,44.35
TI00000305,T0000104,P000011,4,19.19,76.76
TI00000306,T0000104,P000006,3,9.16,27.48
TI00000307,T0000104,P000016,1,49.09,49.09
TI00000308,T0000105,P000014,2,24.75,49.5
TI00000309,T0000105,P000006,4,9.16,36.64
TI00000310,T0000105,P000020,1,58.91,58.91
TI00000311,T0000105,P000013,2,13.19,26.38
TI00000312,T0000106,P000012,2,42.38,84.76
TI00000313,T0000107,P000020,3,58.91,176.73
TI00000314,T0000107,P000018,2,32.67,65.34
TI00000315,T0000107,P000002,2,56.39,112.78
TI00000316,T0000107,P000007,1,44.35,44.35
TI00000317,T0000107,P000013,1,13.19,13.19
TI00000318,T0000108,P000002,4,56.39,225.56
TI00000319,T0000108,P000017,3,43.77,131.31
TI00000320,T0000108,P000013,4,13.19,52.76
TI00000321,T0000109,P000010,3,43.23,129.69
TI00000322,T0000109,P000003,1,10.3,10.3
TI00000323,T0000109,P000019,4,32.28,129.12
TI00000324,T0000110,P000016,1,49.09,49.09
TI00000325,T0000110,P000013,4,13.19,52.76
TI00000326,T0000110,P000019,2,32.28,64.56
TI00000327,T0000110,P000005,1,49.07,49.07
TI00000328,T0000111,P000010,1,43.23,43.23
TI00000329,T0000112,P000012,3,42.38,127.14
TI00000330,T0000112,P000006,1,9.16,9.16
TI00000331,T0000113,P000001,1,27.25,27.25
TI00000332,T0000113,P000006,3,9.16,27.48
TI00000333,T0000113,P000007,2,44.35,88.7
TI00000334,T0000113,P000005,2,49.07,98.14
TI00000335,T0000114,P000012,3,42.38,127.14
TI00000336,T0000115,P000013,2,13.19,26.38
TI00000337,T0000115,P000006,4,9.16,36.64
TI00000338,T0000115,P000007,3,44.35,133.05
TI00000339,T0000115,P000014,3,24.75,74.25
TI00000340,T0000116,P000014,3,24.75,74.25
TI00000341,T0000116,P000018,4,32.67,130.68
TI00000342,T0000116,P000013,3,13.19,39.57
TI00000343,T0000117,P000003,4,10.3,41.2
TI00000344,T0000117,P000006,1,9.16,9.16
TI00000345,T0000117,P000019,2,32.28,64.56
TI00000346,T0000118,P000007,3,44.35,133.05
TI00000347,T0000119,P000014,1,24.75,24.75
TI00000348,T0000119,P000015,4,49.37,197.48
TI00000349,T0000119,P000020,1,58.91,58.91
TI00000350,T0000119,P000013,4,13.19,52.76
TI00000351,T0000120,P000009,2,33.09,66.18
TI00000352,T0000120,P000019,4,32.28,129.12
TI00000353,T0000120,P000002,4,56.39,225.56
TI00000354,T0000120,P000012,2,42.38,84.76
TI00000355,T0000120,P000011,1,19.19,19.19
TI00000356,T0000121,P000010,2,43.23,86.46
TI00000357,T0000121,P000006,4,9.16,36.64
TI00000358,T0000121,P000008,1,52.62,52.62
TI00000359,T0000122,P000015,1,49.37,49.37
TI00000360,T0000122,P000001,2,27.25,54.5
TI00000361,T0000122,P000007,1,44.35,44.35
TI00000362,T0000122,P000010,2,43.23,86.46
TI00000363,T0000123,P000001,3,27.25,81.75
TI00000364,T0000123,P000008,2,52.62,105.24
TI00000365,T0000124,P000013,4,13.19,52.76
TI00000366,T0000124,P000018,1,32.67,32.67
TI00000367,T0000125,P000007,3,44.35,133.05
TI00000368,T0000126,P000011,4,19.19,76.76
TI00000369,T0000126,P000005,1,49.07,49.07
TI00000370,T0000126,P000020,4,58.91,235.64
TI00000371,T0000126,P000001,3,27.25,81.75
TI00000372,T0000126,P000018,1,32.67,32.67
TI00000373,T0000127,P000018,1,32.67,32.67
TI00000374,T0000127,P000001,3,27.25,81.75
TI00000375,T0000127,P000006,2,9.16,18.32
TI00000376,T0000127,P000013,4,13.19,52.76
TI00000377,T0000127,P000019,4,32.28,129.12
TI00000378,T0000128,P000005,3,49.07,147.21
TI00000379,T0000129,P000018,2,32.67,65.34
TI00000380,T0000129,P000008,3,52.62,157.86
TI00000381,T0000129,P000016,2,49.09,98.18
TI00000382,T0000130,P000020,3,58.91,176.73
TI00000383,T0000130,P000001,2,27.25,54.5
TI00000384,T0000130,P000007,3,44.35,133.05
TI00000385,T0000130,P000005,2,49.07,98.14
TI00000386,T0000131,P000020,2,58.91,117.82
TI00000387,T0000131,P000007,3,44.35,133.05
TI00000388,T0000131,P000004,2,39.36,78.72
TI00000389,T0000131,P000018,2,32.67,65.34
TI00000390,T0000131,P000008,1,52.62,52.62
TI00000391,T0000132,P000019,4,32.28,129.12
TI00000392,T0000132,P000009,3,33.09,99.27
TI00000393,T0000133,P000014,2,24.75,49.5
TI00000394,T0000133,P000010,3,43.23,129.69
TI00000395,T0000134,P000003,4,10.3,41.2
