transaction_id,customer_id,store_id,transaction_date,payment_method,transaction_total
T0000001,C003477,ST0084,2025-11-13,Credit Card,244.13
T0000002,C001246,ST0158,2024-08-08,Debit Card,166.93
T0000003,C007921,ST0168,2026-02-22,Cash,101.5
T0000004,C004884,ST0263,2026-06-27,Debit Card,36.01
T0000005,C003303,ST0013,2025-02-28,Mobile Payment,183.11
T0000006,C006988,ST0217,2024-08-24,Cash,155.46
T0000007,C000911,ST0158,2026-02-21,Credit Card,218.73
T0000008,C003497,ST0282,2026-05-20,Cash,18.44
T0000009,C000444,ST0128,2025-11-01,Cash,219.79
T0000010,C003039,ST0097,2024-12-01,Cash,144.56
T0000011,C004270,ST0312,2026-05-07,Mobile Payment,225.84
T0000012,C009658,ST0255,2026-04-08,Credit Card,104.37
T0000013,C000649,ST0193,2026-04-24,Credit Card,210.6
T0000014,C009306,ST0101,2025-01-08,Credit Card,61.79
T0000015,C002466,ST0289,2025-05-26,Credit Card,84.54
T0000016,C008443,ST0143,2026-05-31,Mobile Payment,193.57
T0000017,C007856,ST0260,2026-01-20,Cash,141.62
T0000018,C008071,ST0285,2026-06-06,Mobile Payment,247.2
T0000019,C002382,ST0237,2025-07-25,Credit Card,145.5
T0000020,C009732,ST0190,2025-04-21,Credit Card,146.74
T0000021,C001553,ST0015,2025-01-23,Cash,238.02
T0000022,C008727,ST0273,2025-11-06,Debit Card,82.19
T0000023,C002133,ST0349,2025-04-30,Debit Card,50.98
T0000024,C000269,ST0331,2024-11-16,Cash,65.27
T0000025,C009225,ST0330,2025-05-26,Credit Card,168.13
T0000026,C009657,ST0027,2025-04-27,Credit Card,194.85
T0000027,C008113,ST0091,2025-10-25,Credit Card,81.75
T0000028,C007275,ST0260,2026-04-01,Mobile Payment,183.76
T0000029,C009052,ST0057,2025-10-27,Debit Card,235.85
T0000030,C006968,ST0303,2024-11-20,Cash,194.41
T0000031,C004518,ST0262,2026-03-02,Debit Card,246.8
T0000032,C007493,ST0303,2024-08-18,Cash,232.12
T0000033,C004122,ST0254,2025-07-24,Mobile Payment,228.42
T0000034,C007197,ST0241,2025-08-17,Credit Card,84.46
T0000035,C007035,ST0265,2026-06-06,Debit Card,163.21
T0000036,C004833,ST0249,2024-11-10,Mobile Payment,209.87
T0000037,C003272,ST0222,2024-08-27,Debit Card,9.7
T0000038,C000665,ST0169,2026-05-16,Mobile Payment,65.9
T0000039,C005882,ST0089,2025-04-06,Credit Card,238.25
T0000040,C006308,ST0067,2024-07-28,Cash,125.7
T0000041,C005132,ST0086,2026-01-05,Cash,215.28
T0000042,C001358,ST0181,2024-07-23,Mobile Payment,77.54
T0000043,C009687,ST0278,2024-10-20,Debit Card,111.66
T0000044,C005028,ST0266,2024-09-28,Mobile Payment,149.96
T0000045,C006912,ST0035,2024-12-14,Cash,83.93
T0000046,C001710,ST0226,2025-07-08,Debit Card,75.46
T0000047,C005137,ST0040,2026-02-13,Mobile Payment,237.13
T0000048,C009507,ST0017,2025-07-31,Debit Card,78.63
T0000049,C003431,ST0111,2025-11-18,Mobile Payment,95.77
T0000050,C000991,ST0156,2026-01-24,Mobile Payment,227.01
T0000051,C000349,ST0231,2024-09-24,Credit Card,230.78
T0000052,C000038,ST0208,2025-10-02,Credit Card,6.59
T0000053,C007188,ST0314,2025-07-09,Mobile Payment,19.41
T0000054,C008240,ST0124,2025-10-11,Credit Card,179.68
T0000055,C002713,ST0327,2024-08-28,Credit Card,243.86
T0000056,C008417,ST0318,2025-09-05,Mobile Payment,240.87
T0000057,C000230,ST0279,2026-03-01,Cash,66.25
T0000058,C006953,ST0194,2025-09-16,Mobile Payment,99.66
T0000059,C006091,ST0038,2024-11-03,Mobile Payment,129.89
T0000060,C001784,ST0069,2024-12-29,Mobile Payment,106.69
T0000061,C003153,ST0189,2026-05-12,Credit Card,231.07
T0000062,C005338,ST0035,2025-07-01,Debit Card,178.31
T0000063,C001793,ST0159,2024-09-07,Debit Card,167.99
T0000064,C000365,ST0342,2024-08-20,Mobile Payment,48.74
T0000065,C008978,ST0155,2024-12-27,Debit Card,75.97
T0000066,C006409,ST0107,2025-10-29,Mobile Payment,178.47
T0000067,C005513,ST0022,2024-11-08,Mobile Payment,239.07
T0000068,C000649,ST0043,2025-06-12,Mobile Payment,134.31
T0000069,C007085,ST0003,2025-08-30,Debit Card,18.6
T0000070,C009528,ST0276,2024-08-20,Debit Card,33.74
T0000071,C000226,ST0215,2026-03-25,Debit Card,240.26
T0000072,C006528,ST0290,2026-02-04,Cash,193.27
T0000073,C000245,ST0179,2025-01-11,Credit Card,156.29
T0000074,C004650,ST0109,2024-09-16,Cash,149.8
T0000075,C000002,ST0126,2025-09-23,Mobile Payment,140.83
T0000076,C000399,ST0285,2025-01-31,Mobile Payment,73.53
T0000077,C006898,ST0282,2025-06-03,Debit Card,27.37
T0000078,C003877,ST0020,2024-07-23,Mobile Payment,153.54
T0000079,C007468,ST0195,2025-09-15,Mobile Payment,12.8
T0000080,C005059,ST0350,2024-12-23,Mobile Payment,58.19
T0000081,C003109,ST0149,2024-07-09,Cash,122.04
T0000082,C006231,ST0094,2026-02-11,Credit Card,28.91
T0000083,C006078,ST0315,2026-02-27,Mobile Payment,173.44
T0000084,C009377,ST0352,2024-12-01,Cash,238.44
T0000085,C009081,ST0133,2026-02-02,Mobile Payment,47.9
T0000086,C008379,ST0071,2026-02-11,Cash,60.23
T0000087,C000514,ST0317,2025-02-20,Mobile Payment,10.71
T0000088,C003994,ST0141,2025-01-14,Debit Card,144.62
T0000089,C002827,ST0165,2025-12-28,Debit Card,142.58
T0000090,C004546,ST0152,2025-09-18,Mobile Payment,85.44
T0000091,C003488,ST0092,2025-02-21,Cash,98.87
T0000092,C009188,ST0274,2026-01-03,Debit Card,79.44
T0000093,C003892,ST0086,2026-05-19,Credit Card,18.84
T0000094,C005144,ST0320,2026-03-01,Credit Card,57.05
T0000095,C000560,ST0325,2025-03-16,Debit Card,188.15
T0000096,C004242,ST0125,2025-06-20,Credit Card,246.43
T0000097,C002231,ST0237,2024-09-05,Debit Card,169.56
T0000098,C003482,ST0325,2024-11-29,Debit Card,217.4
T0000099,C005123,ST0241,2024-09-13,Cash,188.14
T0000100,C004374,ST0267,2026-01-29,Debit Card,173.77
T0000101,C009850,ST0202,2025-09-28,Credit Card,25.84
T0000102,C008471,ST0266,2026-04-13,Credit Card,148.45
T0000103,C003717,ST0033,2025-04-06,Debit Card,17.34
T0000104,C004344,ST0341,2025-10-12,Mobile Payment,204.02
T0000105,C002810,ST0207,2025-10-30,Debit Card,164.27
T0000106,C009415,ST0344,2024-10-31,Mobile Payment,145.81
T0000107,C001846,ST0320,2025-10-12,Mobile Payment,154.38
T0000108,C007828,ST0188,2024-11-04,Debit Card,180.68
T0000109,C004015,ST0050,2024-10-27,Mobile Payment,166.01
T0000110,C000288,ST0123,2026-01-29,Debit Card,36.07
T0000111,C004451,ST0080,2025-11-25,Cash,168.55
T0000112,C004674,ST0022,2026-02-10,Cash,115.93
T0000113,C003620,ST0004,2026-01-04,Debit Card,77.13
T0000114,C008119,ST0109,2024-12-12,Debit Card,77.19
T0000115,C001129,ST0287,2026-03-19,Mobile Payment,161.3
T0000116,C005956,ST0258,2026-05-20,Debit Card,122.77
T0000117,C008581,ST0158,2026-01-30,Debit Card,28.36
T0000118,C008215,ST0157,2026-04-26,Mobile Payment,212.01
T0000119,C006400,ST0127,2025-01-06,Debit Card,127.3
T0000120,C008254,ST0089,2024-08-12,Cash,165.84
T0000121,C007741,ST0236,2024-10-07,Debit Card,126.67
T0000122,C004771,ST0216,2025-01-19,Mobile Payment,175.35
T0000123,C004844,ST0215,2025-03-12,Mobile Payment,181.16
T0000124,C002795,ST0304,2025-08-01,Debit Card,69.05
T0000125,C008945,ST0050,2025-11-26,Credit Card,207.92
T0000126,C000663,ST0325,2025-11-26,Credit Card,77.96
T0000127,C000692,ST0351,2025-04-20,Debit Card,72.4
T0000128,C002169,ST0118,2025-12-03,Credit Card,80.49
T0000129,C009172,ST0117,2025-10-22,Mobile Payment,178.55
T0000130,C002786,ST0100,2024-09-23,Mobile Payment,165.83
T0000131,C004367,ST0233,2025-10-06,Credit Card,25.7
T0000132,C002124,ST0067,2026-05-29,Mobile Payment,9.55
T0000133,C002609,ST0236,2026-06-28,Credit Card,72.87
T0000134,C004344,ST0272,2025-03-02,Cash,7.27
T0000135,C004888,ST0072,2026-04-06,Debit Card,238.68
T0000136,C006865,ST0304,2025-03-24,Mobile Payment,190.86
T0000137,C008519,ST0324,2024-07-17,Cash,175.45
T0000138,C002282,ST0042,2026-05-21,Credit Card,232.19
T0000139,C006261,ST0101,2025-06-01,Cash,51.7
T0000140,C005298,ST0060,2025-03-02,Mobile Payment,190.07
T0000141,C007268,ST0305,2026-04-16,Debit Card,223.07
T0000142,C002546,ST0167,2025-08-24,Debit Card,249.1
T0000143,C004738,ST0223,2025-02-21,Credit Card,94.09
T0000144,C006307,ST0074,2024-09-06,Cash,70.01
T0000145,C002796,ST0024,2025-10-04,Mobile Payment,82.12
T0000146,C002381,ST0018,2025-04-03,Mobile Payment,126.63
T0000147,C008117,ST0065,2024-08-28,Mobile Payment,93.45
T0000148,C003802,ST0130,2026-03-31,Mobile Payment,121.36
T0000149,C002668,ST0289,2025-01-08,Cash,138.25
T0000150,C003157,ST0168,2024-12-27,Cash,72.45
T0000151,C004041,ST0023,2024-10-29,Cash,197.38
T0000152,C000857,ST0282,2026-01-23,Cash,153.28
T0000153,C005466,ST0075,2025-12-29,Debit Card,158.83
T0000154,C004437,ST0144,2026-04-03,Cash,180.71
T0000155,C006308,ST0040,2024-09-23,Debit Card,233.77
T0000156,C000021,ST0113,2026-04-18,Cash,177.33
T0000157,C006110,ST0086,2024-08-30,Mobile Payment,26.11
T0000158,C007325,ST0136,2024-08-24,Mobile Payment,168.75
T0000159,C000554,ST0012,2024-08-31,Mobile Payment,151.91
T0000160,C000892,ST0096,2026-04-01,Mobile Payment,15.74
T0000161,C001990,ST0238,2024-10-29,Cash,163.0
T0000162,C006445,ST0262,2025-09-23,Mobile Payment,223.98
T0000163,C005686,ST0244,2025-01-05,Cash,201.51
T0000164,C002963,ST0284,2026-01-16,Debit Card,128.26
T0000165,C000643,ST0211,2025-12-05,Mobile Payment,246.05
T0000166,C002271,ST0323,2025-05-28,Mobile Payment,129.13
T0000167,C005497,ST0180,2026-02-09,Cash,141.86
T0000168,C006189,ST0324,2025-01-30,Mobile Payment,73.67
T0000169,C007867,ST0223,2026-01-31,Mobile Payment,69.43
T0000170,C008771,ST0175,2026-01-08,Cash,160.59
T0000171,C008206,ST0120,2024-11-03,Cash,28.9
T0000172,C005933,ST0264,2025-11-05,Cash,27.19
T0000173,C002196,ST0207,2025-09-25,Debit Card,86.65
T0000174,C009624,ST0273,2025-02-18,Credit Card,86.81
T0000175,C006442,ST0073,2025-09-11,Debit Card,85.48
T0000176,C004191,ST0034,2026-03-01,Cash,120.03
T0000177,C009388,ST0160,2024-11-13,Cash,100.0
